title,slug,category,description,url,image
AIxPA,aixpa,Responsible AI,"Ethical and transparent AI frameworks for public administration.",,
"Street Light Scanner",street-light-scanner,Computer vision · Mapping,"Street-level imagery and AI for open urban-infrastructure data.",,
"Logistica di Comunità",logistica-di-comunita,Rural communities,"Local knowledge and technology for sustainable rural logistics.",,
SmartBin,smartbin,Waste · Civic technology,"Open data and digital tools for smarter waste collection.",,
"COVID-19 Trentino",covid-19-trentino,Open data · Public health,"Open visualisations of the pandemic in Trentino.",https://covid19trentino.fbk.eu,
"Trento Time Travel Maps",trento-time-travel-maps,Digital humanities · Maps,"A historical exploration of Trentino emigration.",https://timetravelmaps.github.io/trento,
"Sidewalk Widths Italy",sidewalk-widths-italy,Accessibility · OpenStreetMap,"Mapping the width and accessibility of Italian pavements.",http://sidewalkwidths.it,
Parklog Trento,parklog-trento,Urban data · Mobility,"Car and bicycle parking availability in Trento.",,
"Trento Trees Eco-benefit",trento-trees-eco-benefit,Urban environment,"Making the value of individual urban trees visible.",http://dcl.fbk.eu/trentotreesecobenefit/,
