image,alt,alt_it,tag,tag_it,title,title_it,description,description_it,url,url_text,url_text_it,wide,css_class
/assets/img/bologna-heat.webp,Land surface temperature map of Bologna,Mappa della temperatura superficiale di Bologna,Climate intelligence,Intelligenza climatica,Land surface temperature in Bologna,Temperatura superficiale a Bologna,Identifying heat patterns to support urban climate adaptation.,Identificare i pattern di calore per supportare l'adattamento climatico urbano.,,,,true,
/assets/img/bike-stress.webp,Cycling stress map of Italy,Mappa dello stress ciclabile in Italia,Active mobility,Mobilità attiva,Stress in bici,Stress in bici,Reading the road network through cyclists’ perceived stress.,Leggere la rete stradale attraverso lo stress percepito dai ciclisti.,https://stressinbici.it/,Open the map ↗,Apri la mappa ↗,false,
/assets/img/time-travel.webp,Historical migration map of Trentino,Mappa storica della migrazione trentina,Digital humanities,Digital humanities,Trento Time Travel Maps,Trento Time Travel Maps,Exploring Trentino emigration through historical data and maps.,Esplorare l'emigrazione trentina attraverso dati e mappe storiche.,,,,false,
/assets/img/ai-ethics-canvas.webp,Overview of the AI Ethics Canvas,Panoramica dell'AI Ethics Canvas,Responsible AI · Public administration,IA responsabile · Pubblica amministrazione,AI Ethics Canvas,AI Ethics Canvas,"A structured canvas for planning, designing and deploying ethical AI solutions in public administrations.","Un canvas strutturato per pianificare, progettare e implementare soluzioni di IA etica nelle pubbliche amministrazioni.",https://github.com/dclfbk/canvasaiethics,Explore the canvas ↗,Esplora il canvas ↗,false,canvas-image
