image,alt,alt_it,caption,caption_it,url,css_class
/assets/img/stressinbici-cover.png,Stress in bici map showing cycling stress levels on the streets of Trento,Mappa Stress in bici che mostra il livello di stress ciclabile nelle strade di Trento,Stress in bici · Open mobility data ↗,Stress in bici · Dati aperti sulla mobilità ↗,https://stressinbici.it/,
/assets/img/talea-historysuhi.webp,TALEA surface temperature history map of Bologna,Mappa storica della temperatura superficiale di Bologna del progetto TALEA,TALEA · Surface heat history ↗,TALEA · Storia del calore superficiale ↗,"https://talea.comune.bologna.it/historysuhi/#2.v1.g1.yd.l0&lng=11.30297&lat=44.50289&zoom=10.87",
/assets/img/talea-sci.webp,TALEA Shadow Coverage Index map of Bologna,Mappa dell'indice di copertura ombreggiata di Bologna del progetto TALEA,TALEA · Shadow Coverage Index ↗,TALEA · Indice di copertura ombreggiata ↗,https://talea.comune.bologna.it/sci/,
/assets/img/ai-ethics-canvas.webp,Overview of the AI Ethics Canvas,Panoramica dell'AI Ethics Canvas,AI Ethics Canvas · Responsible AI ↗,AI Ethics Canvas · IA responsabile ↗,https://github.com/dclfbk/canvasaiethics,canvas-image
"/assets/img/povo-civic-hub.webp","Povo Civic Hub interactive map of Povo, Trento","Mappa interattiva Povo Civic Hub di Povo, Trento",Povo Civic Hub · Social infrastructure ↗,Povo Civic Hub · Infrastrutture sociali ↗,https://dclfbk.github.io/povocivichub,
/assets/img/covid19-trentino.webp,COVID-19 Trentino open data dashboard,Dashboard open data COVID-19 Trentino,COVID-19 Trentino · Open data ↗,COVID-19 Trentino · Dati aperti ↗,https://covid19trentino.fbk.eu/,
