title,category,description,url,image
"Land surface temperature in Bologna",Climate intelligence,"Identifying heat patterns to support urban climate adaptation.",,assets/img/bologna-heat.webp
"Stress in bici",Active mobility,"Reading the road network through cyclists' perceived stress.",https://stressinbici.it/,assets/img/bike-stress.webp
"Trento Time Travel Maps",Digital humanities,"Exploring Trentino emigration through historical data and maps.",https://timetravelmaps.github.io/trento,assets/img/time-travel.webp
"AI Ethics Canvas",Responsible AI · Public administration,"A structured canvas for planning, designing and deploying ethical AI solutions in public administrations.",https://github.com/dclfbk/canvasaiethics,assets/img/ai-ethics-canvas.webp
