year,category,title,url
2026,Data & policy,"AI Ethics Canvas: A graphical tool to design and deploy ethical artificial intelligence for public administrations",https://doi.org/10.1017/dap.2026.10088
2026,Digital commons,"A global data commons is needed to protect and govern Earth's soil",https://cris.fbk.eu/handle/11582/372007
2026,Active mobility,"LTS-BikePlan: A Data-Driven Tool for Enhancing Cycling Infrastructure and Safety",https://cris.fbk.eu/handle/11582/371507
2026,Open data,"Data as Commons: The Power and Impact of Open Data",https://cris.fbk.eu/handle/11582/372027
2025,Urban climate,"Investigating Social Vulnerability to Extreme Heat: Heat Islands and Climate Shelters in Urban Contexts",https://doi.org/10.3390/ijgi14010017
2023,Urban mobility,"Are Italian cities already 15-minute? Presenting the Next Proximity Index",https://doi.org/10.1016/j.urbmob.2023.100057
