image,alt,caption,url,css_class
/assets/img/stressinbici-cover.png,Mappa Stress in bici che mostra il livello di stress ciclabile nelle strade di Trento,Stress in bici · Dati aperti sulla mobilità ↗,https://stressinbici.it/,
/assets/img/talea-historysuhi.webp,Mappa storica della temperatura superficiale di Bologna del progetto TALEA,TALEA · Storia del calore superficiale ↗,"https://talea.comune.bologna.it/historysuhi/#2.v1.g1.yd.l0&lng=11.30297&lat=44.50289&zoom=10.87",
/assets/img/talea-sci.webp,Mappa dell'indice di copertura ombreggiata di Bologna del progetto TALEA,TALEA · Indice di copertura ombreggiata ↗,https://talea.comune.bologna.it/sci/,
/assets/img/ai-ethics-canvas.webp,Panoramica dell'AI Ethics Canvas,AI Ethics Canvas · IA responsabile ↗,https://github.com/dclfbk/canvasaiethics,canvas-image
"/assets/img/povo-civic-hub.webp","Mappa interattiva Povo Civic Hub di Povo, Trento",Povo Civic Hub · Infrastrutture sociali ↗,https://dclfbk.github.io/povocivichub,
/assets/img/covid19-trentino.webp,Dashboard open data COVID-19 Trentino,COVID-19 Trentino · Dati aperti ↗,https://covid19trentino.fbk.eu/,
