name,role,bio,image,initials,color,linkedin,github,orcid
Maurizio Napolitano,Responsabile dell'unità,"Guida il Digital Commons Lab e da oltre vent'anni lavora su OpenStreetMap, open data e open source all'interno del Digital Society Center di FBK. Fa parte anche del Board della OpenStreetMap Foundation.",/assets/img/people/maurizio_napolitano.webp,,,https://www.linkedin.com/in/napolnx/,https://github.com/napo,https://orcid.org/0000-0002-7064-8334
Eleonora Andreotti,Postdoc,"Data scientist che si occupa di IA e data governance, con un background in matematica applicata e fisica e una precedente esperienza alla guida di progetti di data governance in Cineca.",,EA,aqua,https://www.linkedin.com/in/eleonora-andreotti-5b3898168/,,https://orcid.org/0000-0002-4500-2435
Pietro Bizzaro,"Postdoc, AI & Data Governance","Studia come la regolamentazione dell'IA e dei dati si traduce nella pratica — dalle esenzioni per la ricerca dell'AI Act ai contratti di termini e condizioni — e ha contribuito a costruire l'AI Ethics Canvas usato dalle pubbliche amministrazioni per progettare IA responsabile.",/assets/img/people/pietro_bizzaro.webp,,,https://www.linkedin.com/in/pietro-giovanni-bizzaro-89656015b/,,https://orcid.org/0009-0002-8228-159X
Alice Barsanti,Dottoranda,"Dottoranda che contribuisce al lavoro del laboratorio su IA responsabile e tecnologia civica.",,AB,mint,,,
Leonardo Bridi,AI engineer,"AI engineer che costruisce e mantiene i modelli, le pipeline e gli strumenti alla base dei progetti di IA del laboratorio.",,LB,dark,,,
Tereza Sásková,Tirocinante e tesista,"Studia quanto le città italiane rispettano la regola del verde urbano 3-30-300 — 3 alberi visibili, 30% di copertura arborea, un parco entro 300m — misurando la conformità indirizzo per indirizzo con ortofoto, OpenStreetMap e rilevamento degli alberi tramite computer vision.",/assets/img/people/tereza_saskova.webp,,,https://www.linkedin.com/in/tereza-saskova-527326235,,
Antonio Amabile,Tirocinante e tesista,"Sviluppa UrbanScope3D, uno strumento web di visualizzazione 3D che combina modelli di città e dati ambientali per esplorare le dinamiche urbane.",,AA,grey,,https://github.com/ReCanova,
Beril Lara Kanatli,"Revisione progetto ARCADIA","Supporta il processo di revisione di ARCADIA, la toolbox Horizon Europe del laboratorio che aiuta ricercatori e professionisti del trasferimento tecnologico a portare i risultati della ricerca verso applicazioni reali.",,BK,aqua,https://www.linkedin.com/in/berillarakanatli2208/,,
