tag,title,description
IA responsabile,AIxPA,Framework di IA etica e trasparente per la pubblica amministrazione.
Computer vision · Mappatura,Street Light Scanner,Immagini a livello stradale e IA per dati aperti sulle infrastrutture urbane.
Comunità rurali,Logistica di Comunità,Conoscenza locale e tecnologia per una logistica rurale sostenibile.
Rifiuti · Tecnologia civica,SmartBin,Dati aperti e strumenti digitali per una raccolta rifiuti più intelligente.
Open data · Salute pubblica,COVID-19 Trentino,Visualizzazioni open data della pandemia in Trentino.
Digital humanities · Mappe,Trento Time Travel Maps,Un'esplorazione storica dell'emigrazione trentina.
Accessibilità · OpenStreetMap,Sidewalk Widths Italy,Mappatura della larghezza e accessibilità dei marciapiedi italiani.
Dati urbani · Mobilità,Parklog Trento,Disponibilità di parcheggi auto e bici a Trento.
Ambiente urbano,Trento Trees Eco-benefit,Rendere visibile il valore dei singoli alberi urbani.
