number,title,description
01,Governare in modo responsabile,"Framework, evidenze e strumenti pratici per un uso trasparente, equo e responsabile di IA e dati."
02,Conoscenza aperta,"Open data, mappe e tecnologie civiche che persone e istituzioni possono ispezionare, riutilizzare e migliorare."
03,Lavorare con le comunità,"Ricerca partecipativa che unisce conoscenza locale, istituzioni pubbliche e competenze tecniche."
04,Rendere visibile la complessità,I gemelli digitali e la visualizzazione dei dati trasformano le evidenze in una base condivisa per le decisioni.
