order,tag,title,description,url,partner_text,partner_url,funder,start_date,end_date,keywords,our_role
01,Horizon Europe · Valorizzazione della conoscenza,ARCADIA,"Una toolbox aperta e basata sull'IA che aiuta ricercatori e professionisti del trasferimento tecnologico a portare i risultati della ricerca verso applicazioni reali.",https://arcadia-project.eu/,,,Horizon2020,2025,2029,trasferimento di conoscenza,
02,Clima · Gemelli digitali,TALEA,"Dati ambientali e simulazione per il verde urbano, la resilienza climatica e la partecipazione dei cittadini a Bologna.",,,,,,,,
03,Dati sanitari · Data governance,Trentino Health Factory,"Lavoriamo alla governance dei dati per un'infrastruttura che integra dati clinici, sanitari e ambientali per la ricerca e la medicina personalizzata.",https://www.asuit.tn.it/progetti-ricerca/trentino-health-factory,,,ASUIT,,,,
04,Educazione · Governance dell'IA,AI Literacy Lab,"Programmi formativi pratici che aiutano cittadini e pubblici funzionari a capire come funziona l'IA, dove fallisce e come usarla in modo responsabile.",,In collaborazione con la Provincia Autonoma di Trento ↗,https://www.provincia.tn.it/Amministrazione/Strutture-organizzative/Umse-per-l-intelligenza-artificiale,,,,,
05,WebGIS · Infrastrutture sociali,Povo Civic Hub,"Un atlante territoriale interattivo per esplorare co-presenza, vitalità locale e infrastrutture sociali a Povo, Trento.",https://github.com/dclfbk/povocivichub,,,,,,,
