tag,title,description
Responsible AI,AIxPA,Ethical and transparent AI frameworks for public administration.
Computer vision · Mapping,Street Light Scanner,Street-level imagery and AI for open urban-infrastructure data.
Rural communities,Logistica di Comunità,Local knowledge and technology for sustainable rural logistics.
Waste · Civic technology,SmartBin,Open data and digital tools for smarter waste collection.
Open data · Public health,COVID-19 Trentino,Open visualisations of the pandemic in Trentino.
Digital humanities · Maps,Trento Time Travel Maps,A historical exploration of Trentino emigration.
Accessibility · OpenStreetMap,Sidewalk Widths Italy,Mapping the width and accessibility of Italian pavements.
Urban data · Mobility,Parklog Trento,Car and bicycle parking availability in Trento.
Urban environment,Trento Trees Eco-benefit,Making the value of individual urban trees visible.
