number,title,description
01,Govern responsibly,"Frameworks, evidence and practical tools for transparent, fair and accountable AI and data use."
02,Open knowledge,"Open data, maps and civic technologies that people and institutions can inspect, reuse and improve."
03,Work with communities,"Participatory research that combines local knowledge, public institutions and technical expertise."
04,Make complexity visible,Data visualisation and digital twins that turn evidence into a shared basis for decisions.
