name,role,bio,image,initials,color,linkedin,github,orcid
Maurizio Napolitano,Head of Unit,"Leads Digital Commons Lab and has spent over two decades working on OpenStreetMap, open data and open source within FBK's Digital Society Center.",/assets/img/people/maurizio_napolitano.webp,,,https://www.linkedin.com/in/napolnx/,https://github.com/napo,https://orcid.org/0000-0002-7064-8334
Eleonora Andreotti,Postdoctoral researcher,"Data scientist researching AI with a background in applied mathematics and physics",,EA,aqua,https://www.linkedin.com/in/eleonora-andreotti-5b3898168/,,https://orcid.org/0000-0002-4500-2435
Pietro Bizzaro,"Postdoctoral researcher, AI & Data Governance","Studies how AI and data regulation play out in practice",/assets/img/people/pietro_bizzaro.webp,,,https://www.linkedin.com/in/pietro-giovanni-bizzaro-89656015b/,,https://orcid.org/0009-0002-8228-159X
Alice Barsanti,PhD researcher,"PhD student with a psicolgoy background contributing to the lab's work on responsible AI",,AB,mint,,,
Leonardo Bridi,AI engineer,"AI engineer building and maintaining the models, pipelines and tools behind the lab's AI-powered projects.",,LB,dark,,,
Tereza Sásková,Intern & thesis student,"Researching how Italian cities comply with the 3-30-300 urban greenery rule — 3 visible trees, 30% canopy cover, a park within 300m — measuring compliance address by address using orthophotos, OpenStreetMap and computer-vision tree detection.",/assets/img/people/tereza_saskova.webp,,,https://www.linkedin.com/in/tereza-saskova-527326235,,
Antonio Amabile,Intern & thesis student,"Builds UrbanScope3D, a web-based 3D visualisation tool that combines city models with environmental data layers to explore urban dynamics.",,AA,grey,,https://github.com/ReCanova,
Beril Lara Kanatli,"ARCADIA project reviewer","Supports the review process for ARCADIA, the lab's Horizon Europe toolbox helping researchers and knowledge-transfer professionals move research results towards real-world use.",,BK,aqua,https://www.linkedin.com/in/berillarakanatli2208/,,
