image,alt,caption,url,css_class
/assets/img/stressinbici-cover.png,Stress in bici map showing cycling stress levels on the streets of Trento,Stress in bici · Open mobility data ↗,https://stressinbici.it/,
/assets/img/talea-historysuhi.webp,TALEA surface temperature history map of Bologna,TALEA · Surface heat history ↗,"https://talea.comune.bologna.it/historysuhi/#2.v1.g1.yd.l0&lng=11.30297&lat=44.50289&zoom=10.87",
/assets/img/talea-sci.webp,TALEA Shadow Coverage Index map of Bologna,TALEA · Shadow Coverage Index ↗,https://talea.comune.bologna.it/sci/,
/assets/img/ai-ethics-canvas.webp,Overview of the AI Ethics Canvas,AI Ethics Canvas · Responsible AI ↗,https://github.com/dclfbk/canvasaiethics,canvas-image
"/assets/img/povo-civic-hub.webp","Povo Civic Hub interactive map of Povo, Trento",Povo Civic Hub · Social infrastructure ↗,https://dclfbk.github.io/povocivichub,
/assets/img/covid19-trentino.webp,COVID-19 Trentino open data dashboard,COVID-19 Trentino · Open data ↗,https://covid19trentino.fbk.eu/,
